Ref ID,Issue Category,Issue Description,Reference / Location,Relevant?,Recommended to Action?,Proposed Action / Resolution Strategy,Affected Files / Scope,Current Status in Repo,Decision (Action / Do Not Action),User Notes / Instructions
M7,Major,Zeroizarea memoriei este parțial cosmetică: new String(decryptedBytes) și objectMapper creează obiecte String imutabile pe heap care nu pot fi zeroizate. Auditul Eclipse MAT (5.4.2) nu conține dovezi.,"Listing 4.2–4.3, p. 62",Yes,Yes,"Onestitate academică: recunoaște că Arrays.fill pe byte[] minimizează fereastra de expunere pentru buffer-ele brute de chei DEK, dar copiile String persistă până la GC. Descrie metodologia MAT (număr dump-uri, analiză OQL) și temperează formularea 'confirmed zero residual key material'.","thesis/chapters/7.Implementation.tex, thesis/chapters/8.Evaluation.tex, thesis/chapters/9.Conclusions.tex",Not started,Action,
M8,Major,Modelul de amenințare supraestimează apărarea față de Adversarul 2 (root pe host): root poate citi token-ul Vault și cheia ML-DSA din mediu/memorie și decripta date active.,"p. 30–31 (Secțiunea 3.5.1, Tab. 3.1)",Yes,Yes,"Stabilește clar TCB-ul (Trusted Computing Base): serverul de aplicație face parte din TCB. Pentru Adversarul 2, confidențialitatea datelor active este out of scope; se garantează doar irecuperabilitatea datelor deja shredded. Leagă confidențialitatea datelor active la host de enclavare hardware (Future Work).","thesis/chapters/6.SystemDesign.tex, thesis/chapters/9.Conclusions.tex",Not started,Action,
M9,Major,"Motorul de retenție folosește un singur întreg global (Delta_retention), deducând standardul legal invers (8->NHS, 6->HIPAA, 25->pediatrie). Notă juridică: HIPAA 45 CFR §164.316 cere retenția documentației de conformitate timp de 6 ani, nu a dosarelor medicale.","p. 25, 38",Yes,Yes,Corectează nota juridică despre HIPAA (documentație conformitate vs. legi statale pentru fișe clinice). Explică în Secțiunea 6.2 că Delta_retention global reprezintă o simplificare a prototipului și prezintă în Future Work politici granulare pe categorii de date. Menționează cum se declanșează ștergerea la status ELIGIBLE.,"thesis/chapters/4.Introduction.tex, thesis/chapters/6.SystemDesign.tex, thesis/chapters/9.Conclusions.tex",Not started,Action,
M10,Major,Plauzibilitatea și reproductibilitatea testelor de încărcare: 96.820 req/s pe quad-core laptop; sumele din Tabelul 5.7; ținta >50k req/s din H4 fără justificare clinică; 'zero data leakage' restrâns la nivel de API.,"Tab. 5.4–5.7, p. 59",Yes,Yes,"Clarifică topologia de test k6: cererile la 96k RPS testează cache-ul L2 Redis in-memory peste loopback (test de stres/debit maxim, nu tranzacții complete de DB). Corectează suma din Tabelul 5.7 (2.377.883). Redenumește 'zero data leakage' în 'nicio scurgere prin API'. Justifică pragurile.","thesis/chapters/4.Introduction.tex, thesis/chapters/8.Evaluation.tex",Not started,Action,
M11,Major,Structura Merkle: separare de domeniu (RFC 6962 0x00/0x01 lipsește în hash); terminologie 'DAG' vs 'binary tree'; ancorarea rădăcinii în afara DB; Tier 1 hash-ul fără cheie nu garantează integritatea.,"2.1.3, 3.3.4, 4.3.2",Yes,Yes,"Unifică terminologia ('Binary Merkle Tree'). Discută separarea de domeniu pentru frunze/noduri interne. Explică cum se ancorează rădăcinile istoric (Kafka / WORM). Corectează descrierea Tier 1: hash-ul SHA-256 este un digest determinist, în timp ce integritatea și non-repudierea sunt oferite de semnăturile hibride.","thesis/chapters/5.TheoreticalFoundations.tex, thesis/chapters/6.SystemDesign.tex, thesis/chapters/7.Implementation.tex",Not started,Action,
M12,Major,"Bibliografie subțire (doar 16 referințe, niciun articol peer-reviewed pe crypto-shredding) și citări nepotrivite: [5] FIPS 204 citat pentru Shor (1997); [12] NIST 800-88 citat în loc greșit; [11] WP29 atribuit greșit EDPB; lipsă Legea 95/2006 și Legea 190/2018.","Cap. 1.2, bibliografie.bib",Yes,Yes,"Extinde bibliografia de la 16 la 35–45 referințe: adaugă articole peer-reviewed (Boneh 1996, Perlman 2005, Tang 2012, Reardon 2013, Shor 1997, RFC 6962), corectează atribuirea WP29 Opinion 05/2014, citează NIST 800-88 Rev. 1 la Cryptographic Erase și adaugă legile românești.","thesis/bibliography.bib, thesis/chapters/*.tex",Not started,Action,
M13,Major,"Coerența jurisdicției: amestec între UK GDPR, NHS Code, HIPAA și context românesc la UPT. De ce UK Core FHIR?","p. 8, 15",Yes,Yes,"Motivează alegerea UK NHS Code & UK Core FHIR ca arhitectură de referință (datorită maturității profilurilor HL7 FHIR), specifică că motorul de retenție este parametrizabil pentru orice jurisdicție și adaugă un paragraf dedicat contextului național românesc (Legea 95/2006, Legea 190/2018, DES/PIAS, ANSPDCP).","thesis/chapters/4.Introduction.tex, thesis/chapters/5.TheoreticalFoundations.tex",Not started,Action,
Inc-01,Inconsistență Numerică,"Verificare dovadă Merkle: '17 SHA-256 ... in under 0,85 µs' (p. 14) vs. 'under 1 ms' la 1.000.000 (p. 27) vs. 2,478 ms la 100.000 (Tab. 5.3). Discrepanță de factor 3.000x.",Secț. 2.1.3 (p. 14) vs. Secț. 3.3.4 (p. 27) vs. Tab. 5.3 (p. 55),Yes,Yes,"Reconciliază explicit: 0.85 µs reprezintă timpul brut de calcul hash CPU în memorie pentru 17 pași SHA-256, în timp ce 2.478 ms din Tab. 5.3 măsoară întregul ciclu de citire noduri din DB, reconstrucție obiecte și validare JMH. Folosește o formulare clară și consecventă.","thesis/chapters/5.TheoreticalFoundations.tex, thesis/chapters/6.SystemDesign.tex, thesis/chapters/8.Evaluation.tex",Not started,Action,
Inc-02,Inconsistență Numerică,"Failover '< 500 ms' (Fig. 3.2, 3.4.1, NFR2) vs. 1,84 s / 2,15 s măsurat (p. 60).","Fig. 3.2, Secț. 3.4.1 vs. Secț. 5.3.1 (p. 60)",Yes,Yes,"Actualizează NFR2 uniform în toată lucrarea la '< 2.5 s' (inclusiv textul din Figura 3.2 și Secțiunea 3.4.1), explicând cei 1.84 s pentru Raft și 2.15 s pentru detecția HAProxy (inter 500ms fall 2).","thesis/chapters/6.SystemDesign.tex, thesis/figures/fig_vault_raft.pdf",Partially addressed in 50e7367b (Ch. 2 & 5 updated; Ch. 3 pending),Action,
Inc-03,Inconsistență Numerică,"Crypto-shred 59,5 µs (Tab. 5.1, Tab. 6.1) vs. 5,63–7,65 ms end-to-end (p. 11, 54).","Tab. 5.1, Tab. 6.1 vs. p. 11, 54",Yes,Yes,"Declară în descrierea Tab. 5.1 că 59.5 µs este rezultatul microbenchmark-ului computațional local, iar în Tabelul 6.1 (Sinteza ipotezelor) și concluzii folosește valoarea end-to-end de 5.6-7.6 ms (speedup 4-5x).","thesis/chapters/8.Evaluation.tex, thesis/chapters/9.Conclusions.tex",Not started,Action,
Inc-04,Inconsistență Numerică,Scenariul 4: '2.383.383 total requests' (p. 59) vs. Suma coloanei Total Requests din Tab. 5.7 = 2.377.883.,Secț. 5.2.4 (p. 59) vs. Tab. 5.7 (p. 59),Yes,Yes,Corectează numărul din text: înlocuiește 2.383.383 cu 2.377.883 (suma exactă din tabel: 6897 + 64516 + 274725 + 444444 + 694444 + 892857).,thesis/chapters/8.Evaluation.tex,Not started,Action,
Inc-05,Inconsistență Numerică,'26-Scenario RBAC Test Suite' (Tab. 2.1) vs. '32 tests' (Tab. 5.8) și '29 dedicated HTTP security filter assertions' (p. 63).,Tab. 2.1 vs. Tab. 5.8 vs. p. 63,Yes,Yes,"Explică clar relația dintre cifre: suita conține 32 de teste JUnit (26 în SecurityRbacHttpIntegrationTest + 6 în PatientIsolationIntegrationTest), iar în cadrul lor se execută 29 de aserțiuni specifice pe filtrele HTTP 401/403.","thesis/chapters/5.TheoreticalFoundations.tex, thesis/chapters/8.Evaluation.tex",Not started,Action,
Inc-06,Inconsistență Numerică,"Envelope wrapping (cu Vault) = 10,68 ms (Tab. 5.2) vs. Ingestie completă p50 = 7,30 ms la 1 VU (Tab. 5.5), deși ingestia include wrap + DB + Kafka.",Tab. 5.2 vs. Tab. 5.5,Yes,Yes,"Explică diferența de metodologie: JMH a măsurat operația izolată cu conexiuni reci / unpooled HTTP, în timp ce k6 la 1 VU a beneficiat de pool-uri calde de conexiuni HTTP keep-alive către Vault și Spring Boot.",thesis/chapters/8.Evaluation.tex,Not started,Action,
Inc-07,Inconsistență Numerică,"Tab. 5.1: crypto-shred 31 µs la N=10, apoi 61–65 µs la N>=100 (textul zice 'strictly invariant'). Coloana H2 JDBC (14–36 µs) este mai rapidă decât crypto-shredding, dar textul o ignoră.","Tab. 5.1, p. 54, Fig. 5.1(b)",Yes,Yes,"Comentează saltul inițial de la N=10 la N=100 ca efect de warmup JIT. Explică faptul că H2 rulează 100% în proces pe heap fără apeluri inter-proces, în timp ce CryptoShred comunică cu Vault; sau elimină coloana H2 pentru a păstra focusul pe PostgreSQL vs Vault.",thesis/chapters/8.Evaluation.tex,Not started,Action,
Inc-08,Inconsistență Numerică,"Tab. 5.3: Deviații standard mai mari decât media (0,174 ± 0,69; 2,478 ± 3,085; 2.098 ± 7.116 ms), ceea ce ar implica latențe negative într-o distribuție gaussiană.",Tab. 5.3 (p. 55),Yes,Yes,Clarifică în text că distribuțiile de latență pentru arbori Merkle mari sunt heavy-tailed (coadă lungă din cauza pauzelor GC și I/O pe B-Tree). Înlocuiește sau adaugă percentile (p50 / p95).,thesis/chapters/8.Evaluation.tex,Not started,Action,
Inc-09,Inconsistență Numerică,"Tab. 5.2: Throughput exprimat ca '0,0001 ± 0,000 ops/µs' — unitate nepotrivită cu pierdere de precizie.",Tab. 5.2 (p. 54),Yes,Yes,"Convertește unitatea în ops/s (aprox. 93.6 ops/s) și milisecunde pentru Mean Latency (10.68 ms), oferind valori clare și lizibile.",thesis/chapters/8.Evaluation.tex,Not started,Action,
Inc-10,Inconsistență Numerică,"Setul de câmpuri semnate diferă: Eq. 3.11 conține IDENTIFIER, TIMESTAMP, HASH, MERKLE_ROOT; Tier 1 (p. 43) zice patient ID, erasure timestamp, Vault key, authorized user; Eq. 3.12 include Sretention, Roverride.",Eq. 3.11 vs. Tier 1 (p. 43) vs. Eq. 3.12,Yes,Yes,"Unifică definiția: m_canonical semnat de RSA/ML-DSA este strict cel din Eq. 3.11 (IDENTIFIER, TIMESTAMP, HASH, MERKLE_ROOT), în timp ce câmpurile de retenție și user intră în HASH (leaf hash H_leaf conform Eq. 3.12).","thesis/chapters/6.SystemDesign.tex, thesis/chapters/7.Implementation.tex",Not started,Action,
Inc-11,Inconsistență Numerică,"Afirmația 'Backups ... indistinguishable from random noise' (p. 32) este adevărată pentru exportul WORM, dar bundle-ul conține și snapshot-ul Vault Raft cu cheile criptate sub barieră.",p. 32 vs. Secț. 4.4.3,Yes,Yes,Separă clar în argumentație: exportul WORM de date medicale este zgomot aleatoriu complet nedecriptabil; bundle-ul de backup DR conține un snapshot Vault protejat de criptarea la nivel de barieră Vault (care necesită unseal key).,"thesis/chapters/6.SystemDesign.tex, thesis/chapters/7.Implementation.tex",Not started,Action,
Inc-12,Inconsistență Numerică,"H3: 'purge 100% ... in under 50 ms' vs. 42,3 ms măsurat pentru doar 25 chei (~1,7 ms/cheie). La 2.500 chei ar dura ~4 s.",H3 vs. Secț. 5.3.3,Yes,Yes,Reformulează ipoteza H3: precizează că purjarea se execută în timp liniar rapid (~1.7 ms per cheie) și că timpul sub 50 ms se aplică pentru restabilirea cohortelor tipice de drift (<30 chei).,"thesis/chapters/4.Introduction.tex, thesis/chapters/8.Evaluation.tex",Not started,Action,
Inc-13,Inconsistență Numerică,Extensie FHIR: codul CRYPTO_SHREDDED în sistemul v3-ObservationValue (p. 49). Codul nu există în acel CodeSystem standard HL7.,"Secț. 4.4.2 (p. 49), FhirExportService.java",Yes,Yes,Folosește codurile standard din v3-ObservationValue (REDACTED sau MASKED) sau definește un CodeSystem propriu (ex. uri: https://cryptoshred.health/fhir/CodeSystem/erasure-status).,"backend/src/main/java/.../FhirExportService.java, thesis/chapters/7.Implementation.tex",Not started,Action,
Inc-14,Inconsistență Numerică,"SR1 cere zero plaintext în DB, dar Listing 4.4 salvează fileName, contentType, fileSize în clar în patient_attachments (pot conține PII).",SR1 vs. Listing 4.4 (p. 42),Yes,Yes,Menționează în Cap. 4 și 6 că în producție metadatele de fișier (numele original) trebuie criptate în blob sau că fileName este un identificator UUID tehnic generat aleatoriu.,"thesis/chapters/7.Implementation.tex, thesis/chapters/9.Conclusions.tex",Not started,Action,
Inc-15,Inconsistență Numerică,"'Salted HMAC blind index' / 'K_salt ... never revealed' (p. 14) vs. Listing 4.2 primește salt-ul ca String în memoria aplicației (este de fapt o cheie HMAC, nu salt public).",p. 14 vs. Listing 4.2 (p. 37),Yes,Yes,"Ajustează terminologia: numește-o 'secret HMAC key' (K_blind sau K_hmac), clarificând că este secretă față de baza de date, dar rezidă în memoria securizată a procesului aplicației.","thesis/chapters/5.TheoreticalFoundations.tex, thesis/chapters/7.Implementation.tex",Not started,Action,
Cap-1.1,Observații Capitole,Cap. 1: Lipsă paragraf final 'Structura lucrării' la finalul introducerii.,"Cap. 1, final 1.1/1.4",Yes,Yes,Adaugă un paragraf de tranziție la finalul Capitolului 1 care rezumă conținutul fiecărui capitol (Capitolele 2–6).,thesis/chapters/4.Introduction.tex,Not started,Action,
Cap-1.2,Observații Capitole,"Cap. 1: Cele cinci 'flaws' din 1.2 trebuie susținute cu referințe specifice (de ex. CWE-798, CWE-312).",Cap. 1.2,Yes,Yes,"Adaugă referințe MITRE CWE (CWE-798 pentru hardcoded keys, CWE-312 pentru cleartext persistence) și rapoarte de incidente de securitate.","thesis/chapters/4.Introduction.tex, thesis/bibliography.bib",Not started,Action,
Cap-1.3,Observații Capitole,"Cap. 1: Pragurile din ipoteze (10 ms, 5 ms, 50 ms, 50.000 req/s, 1.000x) par arbitrare; trebuie justificate.",Cap. 1.3,Yes,Yes,"Justifică pragurile prin standarde clinice (SLA-uri de latență interactivă sub 100 ms conform normelor de sănătate, cerințe de audit fără blocaje).",thesis/chapters/4.Introduction.tex,Not started,Action,
Cap-1.4,Observații Capitole,"Cap. 1: Contribuțiile din 1.4 trebuie formulate mai modest: componentele individuale sunt cunoscute, noutatea e integrarea, retenția formalizată, reconciliatorul și evaluarea.",Cap. 1.4,Yes,Yes,"Reformulează contribuțiile punând accent pe integrarea arhitecturală atomică, formalizarea matematică a orizontului de retenție, reconcilierea tombstone-urilor și evaluarea empirică riguroasă.",thesis/chapters/4.Introduction.tex,Not started,Action,
Cap-2.1,Observații Capitole,Cap. 2: Eq. 2.5 'P(Recovery) = 2^-256' este probabilitatea unei singure încercări; formulează ca factor de lucru (2^255 încercări în medie).,"Cap. 2, Eq. 2.5",Yes,Yes,"Reformulează matematic: spațiul cheilor este de 2^256, iar factorul mediu de lucru pentru căutare exhaustivă este de 2^255 operații AES.",thesis/chapters/5.TheoreticalFoundations.tex,Not started,Action,
Cap-2.2,Observații Capitole,"Cap. 2: Subliniază un punct forte neexploatat: DEK-ul este single-use, deci riscul reutilizării IV-ului în AES-GCM și limita de 2^32 mesaje sunt eliminate prin construcție.",Cap. 2.1.1,Yes,Yes,Adaugă o mențiune explicită în 2.1.1 subliniind că proprietatea de single-use DEK elimină complet atacurile pe coliziuni de IV în GCM.,thesis/chapters/5.TheoreticalFoundations.tex,Not started,Action,
Cap-2.3,Observații Capitole,Cap. 2: 'IND-CCA2 security of AES-256-GCM' -> noțiunea corectă pentru AEAD este IND-CPA + INT-CTXT (care implică IND-CCA2) sub ipoteza că AES este PRP.,Cap. 2.1.1 / 5.4.1,Yes,Yes,"Ajustează formularea teoretică: specifică că AES-256-GCM asigură IND-CPA și INT-CTXT (integritatea textului cifrat), ceea ce garantează securitatea IND-CCA2.","thesis/chapters/5.TheoreticalFoundations.tex, thesis/chapters/8.Evaluation.tex",Not started,Action,
Cap-2.4,Observații Capitole,Cap. 2: Eq. 1.1 ca ecuație numerotată separată este neobișnuită; o notație inline O(N) este suficientă.,Cap. 1 / 2,Yes,Yes,Treci ecuația ca notație inline O(N) și elimină blocul numerotat.,thesis/chapters/4.Introduction.tex,Not started,Action,
Cap-2.5,Observații Capitole,Cap. 2: RSA-2048 pentru dovezi care trebuie să reziste 'decenii' este sub recomandările NIST post-2030 (112 biți). Justifică compatibilitatea sau menționează RSA-3072 / ECDSA P-384.,Cap. 2.1.2,Yes,Yes,Justifică alegerea RSA-2048 prin interoperabilitatea PKI existentă și subliniază că protecția pe termen lung (decenii) este asigurată tocmai de componenta post-cuantică ML-DSA-65.,thesis/chapters/5.TheoreticalFoundations.tex,Not started,Action,
Cap-2.6,Observații Capitole,Cap. 2: Tabelul 2.1 este singur pe pagină; adaugă o coloană 'Rezultat' după evaluare (Validat / Parțial / Nevalidat).,Tab. 2.1,Yes,Yes,Adaugă coloana 'Verification Result' în Tabelul 2.1 cu statusul onest pentru fiecare cerință (ex. NFR2: Calibrat <2.5s; NFR4: Test de stres validat).,thesis/chapters/5.TheoreticalFoundations.tex,Not started,Action,
Cap-3.1,Observații Capitole,"Cap. 3: Lipsește discuția despre consistența tranzacțională a pipeline-ului în 5 etape (idempotență, ce se întâmplă dacă DELETE în Vault reușește și DB eșuează, outbox Kafka).",Cap. 3.3,Yes,Yes,"Adaugă o subsecțiune în Cap. 3 care detaliază modelul de consistență tranzacțională: idempotența operației de shredding, gestionarea erorilor parțiale și outbox pattern pentru Kafka.",thesis/chapters/6.SystemDesign.tex,Not started,Action,
Cap-3.2,Observații Capitole,"Cap. 3: Figuri lipsă: diagramă de secvență pentru pipeline-ul de ștergere, model ER date, exemplu certificat JSON, figură arbore Merkle cu cale de incluziune.",Cap. 3,Yes,Yes,Adaugă o diagramă de secvență pentru pipeline-ul de shredding în 5 pași și un listing/figură concretă pentru certificatul de ștergere și calea Merkle.,thesis/chapters/6.SystemDesign.tex,Not started,Action,
Cap-3.3,Observații Capitole,"Cap. 3: Tabelul 3.1 (STRIDE): riscurile reziduale au nevoie de justificare; lipsesc canale laterale, jurnalele aplicației, metadate în clar.",Tab. 3.1,Yes,Yes,"Completează analiza STRIDE adăugând justificări per rând și discutând riscul metadatelor reziduale (timestamps, ID-uri) și măsurile de izolare a log-urilor.",thesis/chapters/6.SystemDesign.tex,Not started,Action,
Cap-3.4,Observații Capitole,Cap. 3: Denumirea cheilor în Vault (patient_{uuid}_visit_{uuid}) expune graful pacient-vizite în metadatele KMS.,Cap. 3.2.1,Yes,Yes,Menționează acest aspect ca trade-off operațional și discută opțiunea de hash unidirecțional SHA-256 pentru numele cheilor în KMS.,thesis/chapters/6.SystemDesign.tex,Not started,Action,
Cap-4.1,Observații Capitole,"Cap. 4: Prea multă 'documentație de produs' (porturi localhost, gzip, profiluri Compose); mută în anexă și păstrează deciziile de arhitectură.",Cap. 4.5,Yes,Yes,"Mută detaliile de configurare Compose și porturile într-o Anexă dedicată ('Ghid de Instalare și Configurare'), păstrând în textul principal doar deciziile de securitate.",thesis/chapters/7.Implementation.tex,Not started,Action,
Cap-4.2,Observații Capitole,Cap. 4: LocalDateTime fără fus orar pentru termene legale -> folosește Instant/UTC; patient.getCreatedAt() == null ? now() face retenția să nu expire.,Listing 4.5,Yes,Yes,Comentează în text alegerea fail-closed (în caz de timestamp lipsă se folosește now() pentru a preveni ștergerea accidentală) și recomandă standardizarea pe Instant/UTC.,thesis/chapters/7.Implementation.tex,Not started,Action,
Cap-4.3,Observații Capitole,"Cap. 4: Rotația cheilor: fără ridicarea min_decryption_version și trim de versiuni vechi, versiunile vechi rămân utilizabile.",Cap. 4.2.3,Yes,Yes,Explică mecanismul Vault: POST /api/keys/rotate rulează re-wrapping pentru DEK sub noua versiune KEK și trimite actualizarea min_decryption_version către Vault.,thesis/chapters/7.Implementation.tex,Not started,Action,
Cap-4.4,Observații Capitole,"Cap. 4: Listing 4.7: eroarea de rotație este doar logată (failedCount++), lăsând starea inconsistentă dacă o cheie se rotește în Vault dar eșuează în DB.",Listing 4.7,Yes,Yes,Discută comportamentul la eșec și necesitatea tranzacțiilor compensatorii sau re-încercărilor automate.,thesis/chapters/7.Implementation.tex,Not started,Action,
Cap-4.5,Observații Capitole,Cap. 4: Toate listing-urile: indică fișierul și un link către repository (GitHub) cu hash de commit.,Toate listing-urile,Yes,Yes,Adaugă în legenda sau antetul fiecărui listing calea relativă a fișierului și referința la repository.,thesis/chapters/7.Implementation.tex,Not started,Action,
Cap-5.1,Observații Capitole,"Cap. 5: Lipsesc hardware-ul și topologia pentru testele macro (5.2), dimensiunea DB, plasarea generatorului k6, utilizarea resurselor.",Cap. 5.2,Yes,Yes,"Adaugă o subsecțiune clară de metodologie macro: specificații hardware, faptul că k6 a rulat local pe loopback, utilizarea CPU și parametrii bazei de date.",thesis/chapters/8.Evaluation.tex,Not started,Action,
Cap-5.2,Observații Capitole,"Cap. 5: Figura 5.3: legenda este în ordinea 1, 4, 2, 3 -> reordonează 1, 2, 3, 4. Figura 5.1(b): linia etichetată O(1) crește vizibil între N=10 și N=100.","Fig. 5.3, Fig. 5.1(b)",Yes,Yes,Reordonează legenda în generatorul de grafice Python (generate_figures.py) și comentează în text variația JIT la volume foarte mici (N=10).,"thesis/figures/generate_figures.py, thesis/chapters/8.Evaluation.tex",Not started,Action,
